post_id,video_duration_min,avg_view_duration_sec,avg_view_percentage,subscribers_gained,ctr_percentage,impressions,likes,comments,shares,engagement_rate,estimated_views,traffic_source,content_category,viral_actual,viral_predicted,viral_probability,Feature_Name,Importance_Value,Model_Metric_Name,Model_Metric_Value
YT0000001,45.55,2422,88.62,564,28.7,1975899,88186,1055,63,0.0452,567083,Shorts Feed,Sports,1,1,0.69,video_duration_min,0.8214088273157941,Accuracy,0.836
YT0000002,59.12,562,15.84,523,25.67,1552915,69884,5883,131,0.0489,398633,Notifications,Vlog,1,1,0.89,traffic_source_Search,0.014271012017430505,ROC-AUC,0.4793611111111111
YT0000003,40.06,2369,98.56,628,10.13,90886,37931,3746,2555,0.4867,9207,External,News,0,0,0.02,traffic_source_Notifications,0.014258797371211803,Precision,0.05555555555555555
YT0000004,42.54,2097,82.16,239,25.0,999294,38861,1575,900,0.0414,249824,External,Education,0,0,0.0,traffic_source_Channel Page,0.013100008497344905,Recall,0.04
YT0000005,31.4,1424,75.58,138,23.49,1656171,57043,3150,1452,0.0372,389035,Shorts Feed,Sports,1,0,0.0,traffic_source_Suggested,0.012321479569297085,Not Applied,0.0
YT0000006,55.38,1307,39.33,407,12.69,694662,73344,2328,2815,0.113,88153,Browse,Music,0,0,0.0,traffic_source_Playlist,0.012202376775409956,Not Applied,0.0
YT0000007,3.74,168,74.87,7,13.16,1609914,20377,1816,1272,0.0146,211865,Channel Page,Sports,0,0,0.08,traffic_source_External,0.01206733455249432,Not Applied,0.0
YT0000008,30.36,1056,57.97,552,2.15,119089,9623,6312,581,0.1387,2560,Shorts Feed,News,0,0,0.02,traffic_source_Shorts Feed,0.011922518492350499,Not Applied,0.0
YT0000009,49.64,1256,42.17,471,14.65,214076,51296,4144,647,0.262,31362,Search,Education,0,0,0.02,content_category_Tech,0.01191594438210518,Not Applied,0.0
YT0000010,18.8,36,3.19,697,28.25,1613309,41580,7949,1333,0.0315,455760,Channel Page,Vlog,1,1,0.75,content_category_Education,0.011600620353235261,Not Applied,0.0
YT0000011,13.45,234,29.0,640,12.02,1563710,7692,35,994,0.0056,187958,Suggested,News,0,0,0.0,content_category_Vlog,0.011373228303093482,Not Applied,0.0
YT0000012,21.33,826,64.54,622,19.93,922988,20879,5741,2857,0.0319,183952,Notifications,News,0,0,0.0,content_category_Music,0.011165526969617636,Not Applied,0.0
YT0000013,50.28,2831,93.84,547,10.13,1103454,40760,7593,906,0.0446,111780,Browse,Music,0,0,0.0,content_category_Reacts,0.011148633537442712,Not Applied,0.0
YT0000014,34.86,252,12.05,46,12.96,1819779,28413,1147,1372,0.017,235843,Channel Page,Tech,0,0,0.0,content_category_Gaming,0.01091432467860135,Not Applied,0.0
YT0000015,33.02,817,41.24,572,27.68,1901068,41834,6579,819,0.0259,526216,Browse,Education,1,1,0.7,content_category_Sports,0.010888755446123647,Not Applied,0.0
YT0000016,48.92,1543,52.57,8,3.13,1688831,54203,219,932,0.0328,52860,External,Reacts,0,0,0.0,content_category_News,0.009440611738447478,Not Applied,0.0
YT0000017,59.59,3350,93.7,497,9.29,1442015,70562,4466,1808,0.0533,133963,Playlist,News,0,0,0.12,Not Applied,0.0,Not Applied,0.0
YT0000018,27.41,1443,87.74,82,24.58,1405774,53285,2106,48,0.0394,345539,External,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000019,14.93,426,47.56,575,0.52,857984,83164,435,1278,0.0989,4462,External,Reacts,0,0,0.17,Not Applied,0.0,Not Applied,0.0
YT0000020,57.81,1841,53.08,154,6.15,818863,12649,7061,1626,0.0261,50360,Playlist,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000021,13.99,209,24.9,84,26.82,304048,96433,609,2688,0.328,81546,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000022,39.76,2359,98.88,191,9.63,798928,39127,3862,685,0.0547,76937,Browse,Tech,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000023,57.09,9,0.26,86,18.87,1150310,91353,1919,128,0.0812,217063,Browse,Comedy,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000024,4.55,176,64.47,343,22.85,1983584,77126,3712,2311,0.0419,453249,Browse,Gaming,1,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000025,59.81,1690,47.09,463,23.23,1323604,60973,6807,97,0.0513,307473,Playlist,Music,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000026,44.71,1738,64.79,637,21.11,482494,39146,6869,2241,0.1,101854,Playlist,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000027,11.69,553,78.84,191,28.97,172837,66543,414,1161,0.3941,50071,Playlist,Vlog,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000028,51.97,114,3.66,58,23.62,1592929,21747,1641,2196,0.0161,376250,Playlist,Comedy,1,1,0.65,Not Applied,0.0,Not Applied,0.0
YT0000029,19.01,880,77.15,180,8.75,1353142,93980,1968,1269,0.0718,118400,Playlist,Music,0,0,0.23,Not Applied,0.0,Not Applied,0.0
YT0000030,41.63,2166,86.72,420,6.81,309679,49552,2108,59,0.167,21089,Notifications,Education,0,0,0.1,Not Applied,0.0,Not Applied,0.0
YT0000031,58.79,2292,64.98,462,28.92,1798820,69111,7377,2913,0.0441,520219,Channel Page,Music,1,1,0.73,Not Applied,0.0,Not Applied,0.0
YT0000032,38.93,664,28.43,398,7.08,1338292,93564,75,2618,0.0719,94751,Playlist,Sports,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000033,51.73,1930,62.18,478,27.55,1162630,21436,4439,2858,0.0247,320305,Playlist,Education,0,0,0.08,Not Applied,0.0,Not Applied,0.0
YT0000034,26.11,810,51.7,329,3.67,982392,83131,5662,2333,0.0928,36054,External,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000035,45.63,502,18.34,32,2.48,1791230,80909,6601,711,0.0493,44423,Browse,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000036,22.65,165,12.14,29,9.28,869367,7523,2069,2624,0.0141,80677,Shorts Feed,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000037,6.44,307,79.45,86,7.59,592845,98214,3477,21,0.1716,44997,Search,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000038,40.35,1441,59.52,500,27.9,1141305,4809,5129,2346,0.0108,318424,Shorts Feed,Comedy,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000039,31.71,1421,74.69,210,18.35,1816016,4847,634,615,0.0034,333239,Browse,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000040,59.27,1695,47.66,607,17.21,716947,60810,2118,523,0.0885,123387,Search,Comedy,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000041,53.71,285,8.84,676,29.13,1642032,45607,6842,628,0.0323,478324,Search,Education,1,1,0.56,Not Applied,0.0,Not Applied,0.0
YT0000042,23.17,277,19.93,431,20.69,280578,95770,3063,800,0.3551,58052,Browse,Reacts,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000043,12.75,284,37.12,603,2.35,1914902,33817,2791,1085,0.0197,45000,Channel Page,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000044,28.56,1112,64.89,688,10.51,1328917,45421,7880,2412,0.0419,139669,Notifications,Sports,0,0,0.07,Not Applied,0.0,Not Applied,0.0
YT0000045,27.82,1163,69.67,447,3.43,563546,12241,3596,534,0.029,19330,Browse,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000046,54.28,3010,92.42,436,8.44,639046,47060,3031,849,0.0797,53935,Browse,Music,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0000047,45.31,874,32.15,145,15.57,1788434,58844,1681,989,0.0344,278459,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000048,56.43,1571,46.4,373,28.48,1231165,93627,4437,2413,0.0816,350636,External,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000049,16.58,774,77.8,464,25.35,1688191,43452,851,2420,0.0277,427956,Browse,Reacts,1,1,0.61,Not Applied,0.0,Not Applied,0.0
YT0000050,19.73,596,50.35,427,15.03,541099,62454,3269,2033,0.1252,81327,Search,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000051,17.21,33,3.2,142,25.43,612784,10770,86,2785,0.0223,155831,Channel Page,Vlog,0,0,0.23,Not Applied,0.0,Not Applied,0.0
YT0000052,28.91,302,17.41,37,14.06,666499,4601,7235,2152,0.021,93710,Search,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000053,53.34,1157,36.15,173,23.48,660543,8277,6461,1082,0.0239,155095,Playlist,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000054,20.83,195,15.6,39,16.41,464755,13334,1678,392,0.0331,76266,Playlist,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000055,59.28,1803,50.69,205,14.41,24428,46846,3327,1184,2.1024,3520,External,Vlog,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000056,19.91,458,38.34,94,13.86,545316,18431,6090,1599,0.0479,75581,Search,Tech,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000057,39.41,319,13.49,546,0.78,1628311,79735,5705,1381,0.0533,12701,Channel Page,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000058,53.42,1263,39.4,274,4.05,767523,97220,7995,2129,0.1399,31085,Browse,Reacts,0,0,0.15,Not Applied,0.0,Not Applied,0.0
YT0000059,7.59,18,3.95,687,17.55,675368,57520,1404,2330,0.0907,118527,External,Vlog,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000060,2.62,72,45.8,414,26.43,791906,95120,3503,2184,0.1273,209301,Notifications,News,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000061,6.84,251,61.16,183,24.7,1920284,6199,5122,2466,0.0072,474310,Browse,Sports,1,1,0.62,Not Applied,0.0,Not Applied,0.0
YT0000062,36.35,131,6.01,460,2.52,1881487,85977,2963,2180,0.0484,47413,Notifications,Comedy,0,0,0.24,Not Applied,0.0,Not Applied,0.0
YT0000063,18.42,556,50.31,291,25.73,1424350,27907,2489,936,0.022,366485,Playlist,News,1,1,0.69,Not Applied,0.0,Not Applied,0.0
YT0000064,39.1,905,38.58,90,14.77,35356,44663,5337,1184,1.4477,5222,Notifications,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000065,33.84,1681,82.79,599,13.01,142404,662,805,1017,0.0174,18527,Search,Reacts,0,0,0.2,Not Applied,0.0,Not Applied,0.0
YT0000066,49.48,2049,69.02,4,26.89,1991149,6718,1180,2417,0.0052,535420,External,Education,1,1,0.7,Not Applied,0.0,Not Applied,0.0
YT0000067,36.36,1023,46.89,271,1.42,1224102,27491,6106,2925,0.0298,17382,Notifications,News,0,0,0.14,Not Applied,0.0,Not Applied,0.0
YT0000068,13.7,740,90.02,685,13.45,1577697,12773,4446,951,0.0115,212200,Notifications,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000069,50.41,2759,91.22,441,19.84,916109,10126,4228,2788,0.0187,181756,Playlist,Comedy,0,1,0.6,Not Applied,0.0,Not Applied,0.0
YT0000070,39.06,257,10.97,672,16.1,105582,57193,2223,2853,0.5898,16999,Suggested,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000071,6.21,172,46.16,681,3.78,655170,91370,5383,194,0.148,24765,Notifications,Comedy,0,0,0.13,Not Applied,0.0,Not Applied,0.0
YT0000072,17.57,116,11.0,242,28.2,339881,79417,792,2843,0.2444,95846,External,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000073,23.48,1186,84.19,292,19.95,307868,77047,5368,1584,0.2728,61420,Notifications,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000074,58.94,3242,91.68,300,18.42,351737,38008,7039,1071,0.1311,64790,Suggested,News,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000075,6.51,259,66.31,683,17.8,1704526,55730,4880,1730,0.0366,303406,Playlist,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000076,31.31,892,47.48,90,12.46,131518,75057,3080,759,0.5999,16387,Browse,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
